trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.1427232999703847,,0.02275900001404807,10,0.1427232999703847,0.1427232999703847,0.11693149997154251,1.8451522999675944,[-0.21833333333333332],[0.3516666666666667],[1],[0],[0],[1.7272479999810457],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
1,0,1,0,1.9078496000147425,,1.8491084999986924,10,1.9078496000147425,1.9078496000147425,0.03273060003994033,3.3325957999913953,[-0.12],[0.30333333333333334],[1],[0],[0],[1.4506286000250839],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
2,0,2,0,3.4214523999835365,,3.3418329000123776,10,3.4214523999835365,3.4214523999835365,0.05999769998015836,4.781853199994657,[-0.27166666666666667],[-0.14],[1],[0],[0],[1.381016900006216],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
3,0,3,0,4.871623300015926,,4.792402999999467,5,4.871623300015926,4.871623300015926,0.0425309999845922,6.095718099968508,[-0.3016666666666667],[0.18],[1],[0],[0],[1.2617223999695852],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
4,0,4,0,6.167713199974969,,6.107529999979306,5,6.167713199974969,6.167713199974969,0.04573799995705485,7.444049299985636,[-0.06333333333333334],[0.3933333333333333],[1],[0],[0],[1.292068799957633],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
5,0,5,0,7.548809500003699,,7.457274799991865,5,7.548809500003699,7.548809500003699,0.05528710002545267,8.822737100010272,[0.24],[0.12],[1],[0],[0],[1.3112178000155836],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
6,0,6,0,8.913233799976297,,8.833841099985875,10,8.913233799976297,8.913233799976297,0.05956159997731447,10.670734299987089,[-0.25166666666666665],[0.49],[1],[0],[0],[1.7789970000158064],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
7,0,7,0,10.76063560001785,,10.685292600013781,5,10.76063560001785,10.76063560001785,0.0504986000014469,12.68565669999225,[0.425],[-0.065],[1],[0],[0],[1.9506627999944612],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
8,0,8,0,12.791074200009461,,12.696342299983371,10,12.791074200009461,12.791074200009461,0.07197659998200834,14.171368299983442,[-0.09333333333333334],[0.051666666666666666],[1],[0],[0],[1.4037365000112914],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
9,0,9,0,14.254543300019577,,14.188591399986763,5,14.254543300019577,14.254543300019577,0.0491030000266619,15.496308800007682,[-0.45166666666666666],[-0.03],[1],[0],[0],[1.2623810999793932],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
10,0,10,0,15.618737699987832,,15.506534399988595,10,15.618737699987832,15.618737699987832,0.08507970004575327,16.845267799973954,[0.32166666666666666],[0.06833333333333333],[1],[0],[0],[1.254723299993202],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
11,0,11,0,16.933294599992223,,16.857486699998844,10,16.933294599992223,16.933294599992223,0.06198279996169731,19.014689599978738,[0.4166666666666667],[0.17333333333333334],[1],[0],[0],[2.0958034000359476],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
12,0,12,0,19.13019830000121,,19.031625400006305,10,19.13019830000121,19.13019830000121,0.07389120000880212,21.245458799996413,[0.47833333333333333],[0.48333333333333334],[1],[0],[0],[2.1434230000013486],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
13,0,13,0,21.359646699973382,,21.260871600010432,5,21.359646699973382,21.359646699973382,0.07228540000505745,23.00739559996873,[-0.44666666666666666],[0.4066666666666667],[1],[0],[0],[1.6777719000237994],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
14,0,14,0,23.14042429998517,,23.022553999966476,10,23.14042429998517,23.14042429998517,0.09125339996535331,24.671139999991283,[0.095],[-0.15666666666666668],[1],[0],[0],[1.5594733000034466],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
15,0,15,0,24.75443109998014,,24.689527500013355,5,24.75443109998014,24.75443109998014,0.05402059998596087,25.962524299975485,[-0.38],[-0.115],[1],[0],[0],[1.222838399989996],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
16,0,16,0,26.035938799963333,,25.975089300016407,5,26.035938799963333,26.035938799963333,0.03602800000226125,28.47498070000438,[-0.37333333333333335],[-0.4816666666666667],[1],[0],[0],[2.465420999971684],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
17,0,17,0,28.564861399994697,,28.486403699964285,10,28.564861399994697,28.564861399994697,0.056577500014100224,30.103032899962272,[-0.03666666666666667],[0.19666666666666666],[1],[0],[0],[1.5609598999726586],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
18,0,18,0,30.179030300001614,,30.11071629996877,10,30.179030300001614,30.179030300001614,0.05141750001348555,31.445003199973144,[-0.245],[0.12833333333333333],[1],[0],[0],[1.2829837000463158],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
19,0,19,0,31.52709230000619,,31.460714099986944,5,31.52709230000619,31.52709230000619,0.04204899998148903,33.15042149997316,[0.20833333333333334],[0.14666666666666667],[1],[0],[0],[1.650082400010433],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
20,0,20,0,33.27435429999605,,33.16026839998085,10,33.27435429999605,33.27435429999605,0.08554950001416728,34.34939739998663,[0.12666666666666668],[0.155],[1],[0],[0],[1.10478640004294],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
21,0,21,0,34.42279069998767,,34.358519200002775,5,34.42279069998767,34.42279069998767,0.03792769997380674,35.78297629998997,[0.24833333333333332],[-0.24333333333333335],[1],[0],[0],[1.3874965999857523],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
22,0,22,0,35.86993300000904,,35.79311269999016,5,35.86993300000904,35.86993300000904,0.04749029997037724,38.59253530000569,[-0.3983333333333333],[0.31333333333333335],[1],[0],[0],[2.7530623000347987],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
23,0,23,0,38.68256579997251,,38.601797199982684,5,38.68256579997251,38.68256579997251,0.04345339996507391,40.25734010001179,[-0.245],[0.09666666666666666],[1],[0],[0],[1.6129865000257269],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
24,0,24,0,40.32939139998052,,40.26924479997251,5,40.32939139998052,40.32939139998052,0.04717109998455271,42.45277580001857,[0.35],[-0.28],[1],[0],[0],[2.1392247999901883],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
25,0,25,0,42.54240450001089,,42.46360740001546,10,42.54240450001089,42.54240450001089,0.05827780003892258,43.99090649996651,[-0.075],[0.17333333333333334],[1],[0],[0],[1.4699523000163026],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
26,0,26,0,44.10689449997153,,44.00766359997215,10,44.10689449997153,44.10689449997153,0.07594969996716827,46.273302000015974,[-0.06],[-0.4866666666666667],[1],[0],[0],[2.191663999983575],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
27,0,27,0,46.41975729999831,,46.2948408999946,10,46.41975729999831,46.41975729999831,0.09533330000704154,48.485478699964006,[0.375],[-0.09333333333333334],[1],[0],[0],[2.097057400038466],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
28,0,28,0,48.58263730001636,,48.50086089997785,10,48.58263730001636,48.58263730001636,0.0692078999709338,50.10670309996931,[0.3883333333333333],[-0.34833333333333333],[1],[0],[0],[1.5400467999861576],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
29,0,29,0,50.23039089998929,,50.11850400001276,10,50.23039089998929,50.23039089998929,0.07617199997184798,51.6575884000049,[0.15333333333333332],[-0.31333333333333335],[1],[0],[0],[1.463318900030572],['Target'],546840,001,2024-10-08_16h34.40.152,3.0 search,2024.1.5,None,2024-10-08 16h34.49.704616 +0530,
