stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.04291890000001786,,0.016618800000003375,0.04291890000001786,0.6290340000000185,0.6290340000000185,0.7083637000000067,0.9589431999999931,1.558174699999995,left,-10.0,0,0,0.8032974999999851,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
1,1,12.0,1.5732234000000176,,1.5582947000000047,1.5732234000000176,2.0738216000000023,2.0738216000000023,2.0738216000000023,2.3899715999999955,3.8253315999999984,right,12.0,1,1,1.7418261999999913,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
2,1,11.0,3.838125600000012,,3.8257275999999933,3.838125600000012,4.35408910000001,4.35408910000001,4.35408910000001,4.654239000000018,4.7596287000000075,left,-11.0,0,0,0.4001399999999933,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
3,1,12.0,4.769722000000002,,4.759720900000019,4.769722000000002,5.2691394,5.2691394,5.2691394,5.568449600000008,5.672939000000014,left,-12.0,0,0,0.3985364000000118,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
4,1,13.0,5.6847495000000094,,5.6730123000000106,5.6847495000000094,6.184127200000006,6.184127200000006,6.184127200000006,6.484278100000012,6.528722200000004,left,-13.0,0,0,0.3328726999999958,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
5,1,14.0,6.548898600000001,,6.5290357000000085,6.548898600000001,7.033366599999994,7.033366599999994,7.0495413000000156,7.332251000000014,7.354482600000011,left,-14.0,0,0,0.30787540000000035,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
6,1,15.0,7.365563699999996,,7.354590300000012,7.365563699999996,7.865463699999992,7.865463699999992,7.865463699999992,8.179965900000013,8.163431900000006,left,-15.0,0,0,0.28778209999998694,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
7,1,16.0,8.179965900000013,,8.163858199999993,8.179965900000013,8.68028080000002,8.68028080000002,8.713422100000003,8.979985999999997,12.255768700000004,right,16.0,1,1,3.5596187000000157,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
8,1,16.0,12.27453300000002,,12.256029100000006,12.27453300000002,12.773837600000007,12.773837600000007,12.807307699999996,13.106332400000014,14.6351315,right,16.0,1,1,1.8318821999999955,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
9,1,16.0,14.653979100000015,,14.635371300000003,14.653979100000015,15.153330799999992,15.153330799999992,15.18651410000001,15.485662500000018,15.501156199999997,left,-16.0,0,0,0.3344207000000097,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
10,1,17.0,15.51916700000001,,15.501533899999998,15.51916700000001,16.018830500000007,16.018830500000007,16.051843700000006,16.334674000000007,16.316195300000004,left,-17.0,0,0,0.27401969999999665,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
11,1,18.0,16.334674000000007,,16.316617100000002,16.334674000000007,16.818239699999992,16.818239699999992,16.834747300000004,17.1334971,17.14829690000002,left,-18.0,0,0,0.3100456999999892,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
12,1,19.0,17.1663341,,17.14871260000001,17.1663341,17.666973400000018,17.666973400000018,17.699142300000005,,17.9478742,right,19.0,1,1,0.27182730000001243,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
13,1,19.0,17.965422899999993,,17.948383699999994,17.965422899999993,18.464582699999994,18.464582699999994,18.498411900000008,18.797267800000014,18.810963500000014,left,-19.0,0,0,0.32356479999998555,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
14,1,20.0,18.830593100000016,,18.811247800000018,18.830593100000016,19.314048900000017,19.314048900000017,19.329994099999993,19.6624616,21.30162100000001,right,20.0,1,1,1.9811348000000066,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
15,1,20.0,21.3262862,,21.301790299999993,21.3262862,21.82581830000001,21.82581830000001,21.85943500000002,22.1585987,23.8203757,right,20.0,1,1,1.9723413000000107,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
16,1,20.0,23.83900110000002,,23.820746100000008,23.83900110000002,24.3384724,24.3384724,24.37192920000001,,24.519528000000008,left,-20.0,0,0,0.16140870000000973,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
17,1,20.0,24.53804980000001,,24.519869599999993,24.53804980000001,25.037786900000015,25.037786900000015,25.070745700000003,25.370148599999993,25.35533860000001,left,-20.0,0,0,0.3029533999999785,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
18,1,20.0,25.370148599999993,,25.355640499999993,25.370148599999993,25.9025235,25.9025235,25.9025235,,26.186354899999998,right,20.0,1,1,0.27639220000000364,556050,001,2024-09-06_12h20.04.524,adaptive_staircase,2024.1.5,None,2024-09-06 12h20.12.761293 +0530,
