reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,1,1,4,3.342189299990423,,3.3306005999911577,3.342189299990423,4.345970600028522,4.345970600028522,4.345970600028522,5.498333600000478,l,1.1487290000077337,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
27,50,21,0,2,2,2,5.529210299951956,,5.500515099964105,5.529210299951956,6.509092699969187,6.509092699969187,6.542352000018582,9.107733799959533,l,2.591311200056225,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
15,35,13,0,3,3,1,9.136354999965988,,9.109866800019518,9.136354999965988,10.119997299974784,10.119997299974784,10.136567599955015,12.48530269996263,l,2.347814100096002,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
78,80,162,0,4,4,6,12.50726590002887,,12.48752029996831,12.50726590002887,13.497788699925877,13.497788699925877,13.514384699985385,15.098069299943745,t,1.5926784999901429,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
40,55,62,0,5,5,3,15.122301199939102,,15.10025030001998,15.122301199939102,16.110308500006795,16.110308500006795,16.126919799949974,19.208380399970338,t,3.0856961000245064,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
11,30,7,0,6,6,0,19.23276199994143,,19.2106753999833,19.23276199994143,20.220431399997324,20.220431399997324,20.237023400026374,23.734107799944468,l,3.5047450000420213,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
27,50,21,1,0,7,2,23.760022799950093,,23.736955299973488,23.760022799950093,24.746369099942967,24.746369099942967,24.76315449993126,27.07903839997016,t,2.3179996999679133,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
40,55,62,1,1,8,3,27.101914800005034,,27.081224799971096,27.101914800005034,28.091016300022602,28.091016300022602,28.107704999973066,30.041043199948035,t,1.9454861999256536,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
15,35,13,1,2,9,1,30.064486099989153,,30.043255200027488,30.064486099989153,31.05300780001562,31.05300780001562,31.06956670002546,33.135596700012684,l,2.064631599932909,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
49,60,89,1,3,10,4,33.158521199948154,,33.1377934999764,33.158521199948154,34.14785409998149,34.14785409998149,34.164628400001675,37.1308678999776,t,2.9793178000254557,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
67,75,119,1,4,11,5,37.15335989999585,,37.13305359997321,37.15335989999585,38.1415219999617,38.1415219999617,38.15823770000134,39.89156329992693,t,1.7428713999688625,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
78,80,162,1,5,12,6,39.91604849998839,,39.893854700028896,39.91604849998839,40.90387679997366,40.90387679997366,40.9205643000314,42.83667550003156,t,1.9149664000142366,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
11,30,7,1,6,13,0,42.85902830003761,,42.83894029993098,42.85902830003761,43.84907100000419,43.84907100000419,43.865737900021486,47.377546199946664,l,3.526093199965544,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
40,55,62,2,0,14,3,47.392733499989845,,47.37849729997106,47.392733499989845,48.39180129999295,48.39180129999295,48.40865659993142,51.540009499993175,t,3.1333228000439703,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
49,60,89,2,1,15,4,51.562908399966545,,51.54218580003362,51.562908399966545,52.5516898999922,52.5516898999922,52.56837480003014,58.46235229994636,t,5.905484999995679,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
27,50,21,2,2,16,2,58.48554879997391,,58.46458389994223,58.48554879997391,59.47429199994076,59.47429199994076,59.49065679998603,61.53875449998304,l,2.049163500079885,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
15,35,13,2,3,17,1,61.55358249996789,,61.5400665999623,61.55358249996789,62.55233380000573,62.55233380000573,62.568879100028425,64.35250859998632,l,1.7917263000272214,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
78,80,162,2,4,18,6,64.37545809999574,,64.35500370000955,64.37545809999574,65.36440469999798,65.36440469999798,65.38122019998264,66.72952299995814,t,1.351540100062266,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
11,30,7,2,5,19,0,66.74509079998825,,66.73042459995486,66.74509079998825,67.74403479998,67.74403479998,67.76049369992688,69.69409250002354,l,1.9409492000704631,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
67,75,119,2,6,20,5,69.71753439994063,,69.6964320000261,69.71753439994063,70.70596109994221,70.70596109994221,70.72250499995425,72.82182549999561,t,2.1087365000275895,None,01,001,2024-11-18_08h55.44.741,7.0 Delay Discounting,2024.1.5,None,2024-11-18 08h55.58.565069 +0530,
