reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.13401639997027814,,0.022379899979569018,0.13401639997027814,1.0008377999765798,1.0008377999765798,1.1340518000070006,1.762746199965477,t,0.7380448000039905,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
49,60,89,0,1,1,4,1.7903368000406772,,1.766043100040406,1.7903368000406772,2.7645013999426737,2.7645013999426737,2.797757599968463,3.1321901000337675,l,0.3504612999968231,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
67,75,119,0,2,2,5,3.1519766999408603,,3.133562400005758,3.1519766999408603,4.145980300032534,4.145980300032534,4.162764900014736,4.631580099929124,t,0.4775826999684796,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
27,50,21,0,3,3,2,4.66098729998339,,4.633734000031836,4.66098729998339,5.643626400036737,5.643626400036737,5.660201199934818,5.829349500010721,t,0.17883990006521344,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
78,80,162,0,4,4,6,5.852185599971563,,5.83181549992878,5.852185599971563,6.841647799941711,6.841647799941711,6.858482199953869,7.110751300002448,l,0.2576379000674933,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
40,55,62,0,5,5,3,7.135169500019401,,7.113449199940078,7.135169500019401,8.123013900010847,8.123013900010847,8.139633700018749,8.275653899996541,l,0.13639270002022386,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
11,30,7,0,6,6,0,8.300732300034724,,8.277709199930541,8.300732300034724,9.287777799996547,9.287777799996547,9.304528299951926,9.973300399957225,t,0.6789624000666663,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
78,80,162,1,0,7,6,9.99710659997072,,9.975583499995992,9.99710659997072,10.984990900033154,10.984990900033154,11.001754799974151,11.304319099988788,t,0.30752230004873127,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
67,75,119,1,1,8,5,11.32768590003252,,11.306528399931267,11.32768590003252,12.316270099952817,12.316270099952817,12.33296489994973,12.668488599942066,l,0.33931710000615567,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
27,50,21,1,2,9,2,12.692568699945696,,12.670663599972613,12.692568699945696,13.680785699980333,13.680785699980333,13.697427200037055,14.050152899930254,l,0.36451069999020547,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
15,35,13,1,3,10,1,14.073930499958806,,14.05240699998103,14.073930499958806,15.061732199974358,15.061732199974358,15.078552099992521,15.547609300003387,t,0.47885329998098314,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
49,60,89,1,4,11,4,15.57102140004281,,15.549921400030144,15.57102140004281,16.559351400006562,16.559351400006562,16.576108900015242,16.763792700017802,t,0.200736700091511,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
40,55,62,1,5,12,3,16.78715949994512,,16.766162400017492,16.78715949994512,17.774186700000428,17.774186700000428,17.790769599960186,18.226302800001577,l,0.43688819999806583,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
11,30,7,1,6,13,0,18.248955599963665,,18.228560599964112,18.248955599963665,19.23824350000359,19.23824350000359,19.25492600002326,19.673249799991027,t,0.4273127999622375,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
27,50,21,2,0,14,2,19.701515199965797,,19.67607789998874,19.701515199965797,20.68557920004241,20.68557920004241,20.702200199943036,21.468669799971394,t,0.7659509000368416,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
67,75,119,2,1,15,5,21.484168399940245,,21.469707199954428,21.484168399940245,22.482737999991514,22.482737999991514,22.499299100018106,23.415670200018212,l,0.9238426999654621,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
40,55,62,2,2,16,3,23.431037300033495,,23.41635159996804,23.431037300033495,24.429508300032467,24.429508300032467,24.446123000001535,25.228989199968055,l,0.7867078999988735,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
49,60,89,2,3,17,4,25.244747699936852,,25.229494499973953,25.244747699936852,26.24327269999776,26.24327269999776,26.259879700024612,26.477105299942195,t,0.22833469999022782,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
15,35,13,2,4,18,1,26.49286979995668,,26.47762809996493,26.49286979995668,27.491241000010632,27.491241000010632,27.50787610001862,28.024695400032215,t,0.5208832999924198,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
11,30,7,2,5,19,0,28.040250499965623,,28.025562399998307,28.040250499965623,29.039263000013307,29.039263000013307,29.055818199994974,30.27275170001667,t,1.2277827999787405,None,04,001,2024-11-19_15h12.23.535,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h12.36.417834 +0530,
