reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,5,0.18026809999719262,,0.030588599969632924,0.18026809999719262,1.0036838999949396,1.0036838999949396,1.18667359999381,1.7193291999865323,t,0.6867533999029547,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
49,60,89,0,1,1,4,1.7499773000599816,,1.725501700071618,1.7499773000599816,2.734220299986191,2.734220299986191,2.7509993000421673,3.1532423000317067,l,0.4063724000006914,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
27,50,21,0,2,2,2,3.1820801000576466,,3.1554677999811247,3.1820801000576466,4.165439000003971,4.165439000003971,4.18199120007921,4.467940400005318,t,0.2931153998943046,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
15,35,13,0,3,3,1,4.496031200047582,,4.470072300056927,4.496031200047582,5.4800151999806985,5.4800151999806985,5.496661500073969,5.815666000009514,l,0.32502109999768436,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
11,30,7,0,4,4,0,5.84018250007648,,5.81788960006088,5.84018250007648,6.827645300072618,6.827645300072618,6.8444589000428095,7.41384829999879,l,0.5818587000248954,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
78,80,162,0,5,5,6,7.436407500063069,,7.41597339999862,7.436407500063069,8.425185300060548,8.425185300060548,8.442005600081757,9.243457600008696,t,0.808504700078629,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
40,55,62,0,6,6,3,9.267548599978909,,9.245669899974018,9.267548599978909,10.255667500081472,10.255667500081472,10.272274499991909,10.624683500034735,t,0.355118399951607,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
40,55,62,1,0,7,3,10.638313699979335,,10.62686349998694,10.638313699979335,11.636242600041442,11.636242600041442,11.65284940006677,12.206041199970059,t,0.5654230000218377,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
49,60,89,1,1,8,4,12.239069400005974,,12.20947200001683,12.239069400005974,13.217690800083801,13.217690800083801,13.251197600038722,13.554300700081512,l,0.31893479998689145,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
11,30,7,1,2,9,0,13.590639700065367,,13.557943899999373,13.590639700065367,14.565219799987972,14.565219799987972,14.59861790004652,15.119409500039183,l,0.5468810999300331,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
15,35,13,1,3,10,1,15.15408930007834,,15.123503200011328,15.15408930007834,16.129016100079753,16.129016100079753,16.162233100039884,16.8296264000237,l,0.6874245000071824,None,03,001,2024-11-19_15h07.24.744,7.0 Delay Discounting,2024.1.5,None,2024-11-19 15h07.43.120592 +0530,
