reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.2296632999787107,,0.02070410002488643,0.2296632999787107,1.0110561000183225,1.0110561000183225,1.2440067999996245,2.5940380999818444,t,1.4097173000918701,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
78,80,162,0,1,1,6,2.608163799974136,,2.595140299992636,2.608163799974136,3.6071473999181762,3.6071473999181762,3.6238747999304906,4.525112999952398,t,0.9001074999105185,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
67,75,119,0,2,2,5,4.553074499941431,,4.527319899993017,4.553074499941431,5.537397000007331,5.537397000007331,5.554077000007965,6.955176200019196,l,1.4130871000234038,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
27,50,21,0,3,3,2,6.979286500019953,,6.957198799937032,6.979286500019953,7.966741199954413,7.966741199954413,7.983444400015287,9.417900400003418,t,1.4387311999453232,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
49,60,89,0,4,4,4,9.452988800010644,,9.421356300008483,9.452988800010644,10.42957379994914,10.42957379994914,10.462791400030255,11.846646199934185,l,1.3991070999763906,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
11,30,7,0,5,5,0,11.871076899929903,,11.848903500009328,11.871076899929903,12.85912009992171,12.85912009992171,12.875558199943043,13.610981400008313,l,0.7361106000607833,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
40,55,62,0,6,6,3,13.633426500018686,,13.613255199976265,13.633426500018686,14.622880899929442,14.622880899929442,14.639471299946308,15.42313709994778,t,0.7887025000527501,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
15,35,13,1,0,7,1,15.439963400014676,,15.424617199925706,15.439963400014676,16.436337399994954,16.436337399994954,16.452948799938895,17.270364800002426,t,0.816433799918741,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
49,60,89,1,1,8,4,17.28959559998475,,17.272572799935006,17.28959559998475,18.283357799984515,18.283357799984515,18.299918900011107,20.300499300006777,t,2.0129811000078917,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
11,30,7,1,2,9,0,20.323926299926825,,20.302572799962945,20.323926299926825,21.31218240002636,21.31218240002636,21.328824499971233,21.981358799966983,l,0.6615771000506356,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
40,55,62,1,3,10,3,22.00675910001155,,21.98342699999921,22.00675910001155,22.99269079999067,22.99269079999067,23.00928210001439,23.727697600028478,t,0.7200289000757039,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
27,50,21,1,4,11,2,23.750800199923106,,23.729861599975266,23.750800199923106,24.739882200025022,24.739882200025022,24.75657919992227,25.55785109999124,t,0.8000057000899687,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
67,75,119,1,5,12,5,25.583925599930808,,25.5600130999228,25.583925599930808,26.570175700006075,26.570175700006075,26.586968899937347,27.30528939992655,t,0.7184980999445543,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
78,80,162,1,6,13,6,27.330491599976085,,27.307965699932538,27.330491599976085,28.317546000005677,28.317546000005677,28.334174999967217,28.77003649994731,l,0.4443191000027582,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
11,30,7,2,0,14,0,28.794353800010867,,28.772347899968736,28.794353800010867,29.78178509999998,29.78178509999998,29.79835609998554,30.10099209996406,t,0.31208239996340126,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
67,75,119,2,1,15,5,30.12476129992865,,30.103248999919742,30.12476129992865,31.113051799940877,31.113051799940877,31.12960799993016,31.4655581000261,t,0.3395174000179395,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
15,35,13,2,2,16,1,31.489482400007546,,31.467677399981767,31.489482400007546,32.477411299943924,32.477411299943924,32.49417989992071,32.84637249994557,l,0.3510618999134749,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
27,50,21,2,3,17,2,32.87290670000948,,32.84853449999355,32.87290670000948,33.858302299981005,33.858302299981005,33.87496909999754,34.09359249996487,t,0.22821570001542568,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
49,60,89,2,4,18,4,34.108923099935055,,34.0951527999714,34.108923099935055,35.10636249999516,35.10636249999516,35.12291959999129,35.257757899933495,l,0.13921390008181334,None,02,001,2024-11-19_14h59.13.881,7.0 Delay Discounting,2024.1.5,None,2024-11-19 14h59.28.223499 +0530,
