trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.12892490002559498,,0.024216499994508922,10,0.12892490002559498,0.12892490002559498,0.09140420000767335,2.3984308000071906,[-0.03833333333333333],[-0.2966666666666667],[1],[0],[0],[2.306087300006766],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
1,0,1,0,2.5096506000263616,,2.407571099989582,10,2.5096506000263616,2.5096506000263616,0.06484409997938201,4.644092799979262,[-0.435],[-0.43666666666666665],[1],[0],[0],[2.1728047999786213],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
2,0,2,0,4.72279199998593,,4.648293000005651,10,4.72279199998593,4.72279199998593,0.04929460003040731,6.658918700006325,[0.18833333333333332],[0.2916666666666667],[1],[0],[0],[1.9617738000233658],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
3,0,3,0,6.75239799998235,,6.664348100021016,10,6.75239799998235,6.75239799998235,0.052278999995905906,8.656769900000654,[0.15666666666666668],[-0.4483333333333333],[1],[0],[0],[1.9405272000003606],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
4,0,4,0,8.716116700030398,,8.662352700019255,5,8.716116700030398,8.716116700030398,0.02673570002662018,10.36980779998703,[-0.27],[0.14166666666666666],[1],[0],[0],[1.6811915000434965],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
5,0,5,0,10.430093700008001,,10.376611399988178,5,10.430093700008001,10.430093700008001,0.033332400023937225,11.785127000010107,[0.29833333333333334],[0.4216666666666667],[1],[0],[0],[1.376348500023596],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
6,0,6,0,11.844448200019542,,11.79308289999608,5,11.844448200019542,11.844448200019542,0.028662900032941252,13.696930499980226,[0.2966666666666667],[0.043333333333333335],[1],[0],[0],[1.8764798999764025],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
7,0,7,0,13.79136189998826,,13.701817299996037,10,13.79136189998826,13.79136189998826,0.063884400005918,15.495723000029102,[-0.235],[0.32666666666666666],[1],[0],[0],[1.7307185999816284],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
8,0,8,0,15.555280400032643,,15.503889099985827,5,15.555280400032643,15.555280400032643,0.029463900020346045,17.473723000031896,[-0.11666666666666667],[0.4533333333333333],[1],[0],[0],[1.94178249995457],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
9,0,9,0,17.568649100023322,,17.480613099993207,10,17.568649100023322,17.568649100023322,0.057006799965165555,19.540092699986417,[0.4266666666666667],[-0.2633333333333333],[1],[0],[0],[2.003731200005859],['Target'],03,001,2024-10-09_13h39.14.996,3.0 search,2024.1.5,None,2024-10-09 13h39.30.540582 +0530,
