14.5603 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
14.5619 	INFO 	Loaded monitor calibration from ['2024_08_06 21:36']
15.6584 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001755FC79B80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001755FC79B20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001755FC79970>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000175651C0AC0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.6584 	EXP 	window1: backgroundImage = ''
15.6584 	EXP 	window1: backgroundFit = 'none'
15.6586 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001755FC79CA0>
15.6589 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001755FC79CA0>
15.6620 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001755FC79CA0>
15.6631 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001755FC79CA0>
15.6795 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.6814 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.6834 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.6856 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.6877 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.6893 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.6913 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.6935 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.6949 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
