words,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instruction_key.started,Instructions.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,Fixation.started,wordtext.started,Fixation.stopped,wordtext.stopped,Recall.started,recall_key.started,recall_instructions.started,recall_textbox.started,recall_instructions.stopped,Recall.stopped,recall_textbox.text,recall_key.keys,recall_key.corr,recall_key.rt,recall_key.duration,EndScreen.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003134000115096569,0.007892500143498182,0.007892500143498182,0.8680650000460446,space,0.8472481002099812,None,,,,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
exploration,long,0,0,0,9,,,,,0.887687599984929,,,,,,,,,0.8786714000161737,1.8780059001874179,3.8754457000177354,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
perseverance,long,0,1,1,1,,,,,3.895415300037712,,,,,,,,,3.876351300161332,4.8734230999834836,6.870147400069982,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
rain,short,0,2,2,0,,,,,6.886648700106889,,,,,,,,,6.870495400158688,7.868479200173169,9.865911200176924,9.881793900160119,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
moon,short,0,3,3,12,,,,,9.881793900160119,,,,,,,,,9.86645400011912,10.880294300150126,12.877130100037903,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
imagination,long,0,4,4,19,,,,,12.893749800045043,,,,,,,,,12.877387600019574,13.87543740007095,15.872481900034472,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
sun,short,0,5,5,8,,,,,15.88884470006451,,,,,,,,,15.873149800114334,16.87066230014898,18.867653800174594,18.883830100065097,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
stone,short,0,6,6,18,,,,,18.883830100065097,,,,,,,,,18.86791200004518,19.882627099985257,21.87939770007506,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
constellation,long,0,7,7,7,,,,,21.895766400033608,,,,,,,,,21.879769399994984,22.87771650007926,24.87470390019007,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
flame,short,0,8,8,2,,,,,24.891126800095662,,,,,,,,,24.87499300017953,25.87289180001244,27.86976070003584,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
anticipation,long,0,9,9,15,,,,,27.886191500118002,,,,,,,,,27.87010659999214,28.868042000103742,30.865427599987015,30.881398600060493,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
smile,short,0,10,10,4,,,,,30.881398600060493,,,,,,,,,30.86567350011319,31.87981569999829,33.876832500100136,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
tree,short,0,11,11,16,,,,,33.89335650019348,,,,,,,,,33.87709620012902,34.87510390020907,36.87194990017451,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
cloud,short,0,12,12,10,,,,,36.88848550012335,,,,,,,,,36.87219969998114,37.87028150004335,39.86764180008322,39.88356200000271,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
book,short,0,13,13,6,,,,,39.88356200000271,,,,,,,,,39.86788210016675,40.882031799992546,42.87901100004092,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
melancholy,long,0,14,14,13,,,,,42.89544770005159,,,,,,,,,42.87950920010917,43.87726920004934,45.87419450003654,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
transformation,long,0,15,15,5,,,,,45.89071090007201,,,,,,,,,45.87448240001686,46.87253400008194,48.86931010009721,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
