words,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instruction_key.started,Instructions.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,Fixation.started,wordtext.started,Fixation.stopped,wordtext.stopped,Recall.started,recall_key.started,recall_instructions.started,recall_textbox.started,recall_instructions.stopped,Recall.stopped,recall_textbox.text,recall_key.keys,recall_key.corr,recall_key.rt,recall_key.duration,EndScreen.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
collaboration,long,0,16,16,11,,,,,48.88571900012903,,,,,,,,,48.86956310016103,49.86761590000242,51.864849500125274,51.881133900024,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
enlightenment,long,0,17,17,17,,,,,51.881133900024,,,,,,,,,51.86509450012818,52.87948730005883,54.87646020017564,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
light,short,0,18,18,14,,,,,54.892835000064224,,,,,,,,,54.87684220005758,55.87459140014835,57.87146609998308,,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
responsibility,long,0,19,19,3,,,,,57.887951700016856,,,,,,,,,57.87177070020698,58.86979090003297,60.867115600034595,60.88316990016028,,,,,,,,,,,,,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,0,0,0,0,60.88316990016028,,,,,,,,,,,,,60.86797790019773,60.88316990016028,61.8818938001059,64.88031979999505,65.89516000007279,67.6430320001673,light,['right'],0,[6.752727699931711],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,1,0,1,0,67.65577950002626,,,,,,,,,,,,,67.64398750010878,67.65577950002626,68.6543727000244,71.65296980016865,72.65805090009235,77.07804430020042,collaboration,['right'],0,[9.408833799883723],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,2,0,2,0,77.09055940015242,,,,,,,,,,,,,77.0787522001192,77.09055940015242,78.08921390003525,81.08769700000994,82.10218400019221,84.26669210009277,book,['right'],0,[7.173496300121769],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,3,0,3,0,84.27889190008864,,,,,,,,,,,,,84.26744100009091,84.27889190008864,85.27762250020169,88.27598780021071,89.29078540019691,90.19018850009888,tree,['right'],0,[5.9021359998732805],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,4,0,4,0,90.20283100008965,,,,,,,,,,,,,90.19093040004373,90.20283100008965,91.20138930017129,94.20016210014,95.21466430020519,96.34764680010267,smile,['right'],0,[6.14314360008575],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,5,0,5,0,96.35945080011152,,,,,,,,,,,,,96.34835190000013,96.35945080011152,97.3581456001848,,,99.55582220014185,,['right'],0,[3.1939018999692053],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,6,0,6,0,99.57100039999932,,,,,,,,,,,,,99.55691640009172,99.57100039999932,100.56976310000755,,,101.25327330012806,,['right'],0,[1.6719390000216663],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,7,0,7,0,101.2682822002098,,,,,,,,,,,,,101.25438560009934,101.2682822002098,102.26691820006818,105.26537220017053,106.2801701000426,107.47927640005946,flame,['right'],0,[6.202954999869689],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,8,0,8,0,107.49158460018225,,,,,,,,,,,,,107.48000139999203,107.49158460018225,108.49012310011312,111.48870290000923,112.50371840014122,113.55274000018835,stone,['right'],0,[6.053377199918032],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,9,0,9,0,113.5652433000505,,,,,,,,,,,,,113.55346870003268,113.5652433000505,114.56383520015515,117.56237400020473,118.5770725000184,119.6097352001816,sun,['right'],0,[6.042029399890453],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,10,0,10,0,119.6220627001021,,,,,,,,,,,,,119.61046330002137,119.6220627001021,120.6209176001139,123.6192004000768,124.6340081000235,127.14775170013309,imagination,['right'],0,[7.511985999997705],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,11,0,11,0,127.15997779997997,,,,,,,,,,,,,127.14861040003598,127.15997779997997,128.1586223000195,,,129.39081680006348,,['right'],0,[2.2283429000526667],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,12,0,12,0,129.40647530020215,,,,,,,,,,,,,129.39154860004783,129.40647530020215,130.40517730009742,,,130.73887340002693,,['right'],0,[1.3303968999534845],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,13,0,13,0,130.75429400010034,,,,,,,,,,,,,130.7397648000624,130.75429400010034,131.75285260006785,134.75141340005212,135.76623550010845,136.68232340016402,moon,['right'],0,[5.925458099925891],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,14,0,14,0,136.69481250015087,,,,,,,,,,,,,136.6830564001575,136.69481250015087,137.69328790018335,140.69184280000627,141.70663250004873,143.0054532000795,rain,['right'],0,[6.306750599993393],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,15,0,15,0,143.0178441000171,,,,,,,,,,,,,143.00618510018103,143.0178441000171,144.01657880004495,,,144.4006269001402,,['right'],0,[1.3807318001054227],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,16,0,16,0,144.41560750012286,,,,,,,,,,,,,144.40177270001732,144.41560750012286,145.41422150004655,148.4127661001403,149.42751100007445,153.07277710014023,exploration,['right'],0,[8.642800899920985],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,17,0,17,0,153.08490460016765,,,,,,,,,,,,,153.07352000009269,153.08490460016765,154.0835466000717,,,154.51718880003318,,['right'],0,[1.4238935001194477],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,18,0,18,0,154.5326109000016,,,,,,,,,,,,,154.51800360018387,154.5326109000016,155.531258800067,,,157.3627866001334,,['right'],0,[2.819542499957606],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,19,0,19,0,157.3780857999809,,,,,,,,,,,,,157.36389899998903,157.3780857999809,158.37676700018346,161.37545090005733,162.3899570000358,164.43790850020014,cloud,['right'],0,[7.043995799962431],[None],,,04,001,2024-11-28_01h20.24.431,experiment psycho,2024.1.5,None,2024-11-28 01h20.36.734235 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.4384749000892,164.45015779999085,,,,,,,,
