words,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instruction_key.started,Instructions.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,Fixation.started,wordtext.started,Fixation.stopped,wordtext.stopped,Recall.started,recall_key.started,recall_instructions.started,recall_textbox.started,recall_instructions.stopped,Recall.stopped,recall_textbox.text,recall_key.keys,recall_key.corr,recall_key.rt,recall_key.duration,EndScreen.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,8,0,8,0,134.46179379988462,,,,,,,,,,,,,134.4532876999583,134.46179379988462,135.46238350006752,138.47328580007888,139.47492880001664,140.8163479999639,stone,['right'],0,[6.337431399850175],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,9,0,9,0,140.82677539996803,,,,,,,,,,,,,140.81989370007068,140.82677539996803,141.8186927998904,144.84336089994758,145.82431879988872,146.7390511999838,moon,['right'],0,[5.908364000031725],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,10,0,10,0,146.7509401999414,,,,,,,,,,,,,146.7425722000189,146.7509401999414,147.74263389990665,150.7674626999069,,151.4417548000347,,['right'],0,[4.665753399953246],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,11,0,11,0,151.45152670005336,,,,,,,,,,,,,151.444806399988,151.45152670005336,152.4516028999351,155.46369310002774,156.464733999921,160.46297820005566,imagination,['right'],0,[8.99617090006359],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,12,0,12,0,160.47245269990526,,,,,,,,,,,,,160.46550900000148,160.47245269990526,161.47041790001094,164.48152299993671,165.51031189993955,166.5039107000921,sun,['right'],0,[6.026783399982378],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,13,0,13,0,166.51770460000262,,,,,,,,,,,,,166.50889439997263,166.51770460000262,167.51085470011458,170.53841820009984,171.5381646999158,172.44082030002028,book,['right'],0,[5.915383300045505],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,14,0,14,0,172.45236789993942,,,,,,,,,,,,,172.44270960008726,172.45236789993942,173.45120709994808,176.46439049998298,177.4694862999022,183.55645229993388,smile,['right'],0,[11.086956099839881],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,15,0,15,0,183.5677978999447,,,,,,,,,,,,,183.5585318999365,183.5677978999447,184.56658370001242,187.57815150008537,188.57641860004514,192.14197500003502,exploration,['right'],0,[8.554699199972674],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,16,0,16,0,192.15202310006134,,,,,,,,,,,,,192.14499579998665,192.15202310006134,193.15292749996297,,,193.82180440006778,,['right'],0,[1.6623134999535978],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,17,0,17,0,193.83486340008676,,,,,,,,,,,,,193.8250599000603,193.83486340008676,194.83340079989284,,,195.58542950008996,,['right'],0,[1.7365308001171798],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,18,0,18,0,195.59856659988873,,,,,,,,,,,,,195.5889409999363,195.59856659988873,196.59736949997023,199.60750790010206,200.5981789000798,203.00607879995368,melancholy,['right'],0,[7.4020891999825835],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,19,0,19,0,203.0176836999599,,,,,,,,,,,,,203.00952510000207,203.0176836999599,204.01866249996237,,,204.97105720010586,,['right'],0,[1.9487764001823962],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.97373270010576,204.98535159998573,,,,,,,,
