words,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instruction_key.started,Instructions.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,Fixation.started,wordtext.started,Fixation.stopped,wordtext.stopped,Recall.started,recall_key.started,recall_instructions.started,recall_textbox.started,recall_instructions.stopped,Recall.stopped,recall_textbox.text,recall_key.keys,recall_key.corr,recall_key.rt,recall_key.duration,EndScreen.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0033952000085264444,0.00935639999806881,0.00935639999806881,0.694783499930054,space,0.6642529000528157,None,,,,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
anticipation,long,0,0,0,15,,,,,0.7451679001096636,,,,,,,,,0.7288536999840289,1.7103599000256509,3.7075137000065297,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
cloud,short,0,1,1,10,,,,,3.723743800073862,,,,,,,,,3.708516899961978,4.705460299970582,6.702613800065592,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
exploration,long,0,2,2,9,,,,,6.725276899989694,,,,,,,,,6.7037261999212205,7.700640100054443,9.697968800086528,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
sun,short,0,3,3,8,,,,,9.714059799909592,,,,,,,,,9.698949200101197,10.695910699898377,12.693628699984401,12.708898300072178,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
flame,short,0,4,4,2,,,,,12.708898300072178,,,,,,,,,12.694366599898785,13.707633499987423,15.704416800057516,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
imagination,long,0,5,5,19,,,,,15.720904899993911,,,,,,,,,15.704817699966952,16.70287839998491,18.700290400069207,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
collaboration,long,0,6,6,11,,,,,18.71819659997709,,,,,,,,,18.701664299936965,19.698175000026822,21.695159000111744,21.710935699986294,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
rain,short,0,7,7,0,,,,,21.710935699986294,,,,,,,,,21.695610099937767,22.710030199959874,24.706620699958876,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
stone,short,0,8,8,18,,,,,24.723088799975812,,,,,,,,,24.707194099901244,25.70526079996489,27.70228559989482,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
melancholy,long,0,9,9,13,,,,,27.718502199975774,,,,,,,,,27.703218000009656,28.700209700036794,30.696799099911004,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
light,short,0,10,10,14,,,,,30.713195400079712,,,,,,,,,30.697299200110137,31.69501299993135,33.69385439995676,33.70875160000287,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
moon,short,0,11,11,12,,,,,33.70875160000287,,,,,,,,,33.69479990005493,34.70724659995176,36.703985600033775,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
perseverance,long,0,12,12,1,,,,,36.72037809994072,,,,,,,,,36.704514499986544,37.702438100008294,39.699617699952796,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
tree,short,0,13,13,16,,,,,39.715783399995416,,,,,,,,,39.70056220004335,40.69766269996762,42.69625240005553,42.71149990009144,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
transformation,long,0,14,14,5,,,,,42.71149990009144,,,,,,,,,42.697235400089994,43.70950000011362,45.7069037000183,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
enlightenment,long,0,15,15,17,,,,,45.723046199884266,,,,,,,,,45.707888700068,46.70478829997592,48.70140770007856,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
smile,short,0,16,16,4,,,,,48.71769779990427,,,,,,,,,48.70183850009926,49.6996643000748,51.69700790010393,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
constellation,long,0,17,17,7,,,,,51.71314910007641,,,,,,,,,51.69793100003153,52.695121499942616,54.693493499886245,54.70847230008803,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
responsibility,long,0,18,18,3,,,,,54.70847230008803,,,,,,,,,54.69442440010607,55.70694070006721,57.7033522001002,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
book,short,0,19,19,6,,,,,57.71984970010817,,,,,,,,,57.70383229991421,58.70192199992016,60.69922629999928,,,,,,,,,,,,,,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,0,0,0,0,60.74637160007842,,,,,,,,,,,,,60.70233509992249,60.74637160007842,61.697638700017706,64.73595310002565,65.70143739995547,88.55562089988962,rain,['right'],0,[27.802652599988505],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,1,0,1,0,88.56743009993806,,,,,,,,,,,,,88.55978760006838,88.56743009993806,89.5693371000234,92.58188949991018,93.58676739991643,97.12822529999539,anticipation,['right'],0,[8.550393500132486],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,2,0,2,0,97.140069300076,,,,,,,,,,,,,97.12941100005992,97.140069300076,98.13855509995483,101.14997059991583,102.18407359998673,103.53407029993832,smile,['right'],0,[6.389986400026828],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,3,0,3,0,103.54609759990126,,,,,,,,,,,,,103.53530370001681,103.54609759990126,104.54524699994363,107.56071750004776,108.56832559988834,110.2331687998958,cloud,['right'],0,[6.67190849990584],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,4,0,4,0,110.24386229994707,,,,,,,,,,,,,110.23713449994102,110.24386229994707,111.25126849999651,114.26088150008582,115.27803499996662,117.72858590004034,sun,['right'],0,[7.4704928998835385],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,5,0,5,0,117.74019460007548,,,,,,,,,,,,,117.73051439994015,117.74019460007548,118.73909959988669,121.74843899998814,122.74347510002553,123.83640870009549,rain,['right'],0,[6.082767100073397],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,6,0,6,0,123.84639890003018,,,,,,,,,,,,,123.83962909993716,123.84639890003018,124.8459546000231,127.84893419989385,128.8578153999988,129.86750900000334,smile,['right'],0,[6.007620499935001],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
,,,,,,7,0,7,0,129.8780402999837,,,,,,,,,,,,,129.87139300000854,129.8780402999837,130.88627779996023,133.89559919992462,,134.45046829991043,,['right'],0,[4.565736399963498],[None],,,02,001,2024-11-26_18h55.09.340,experiment psycho,2024.1.5,None,2024-11-26 18h55.24.257421 +0530,
