words,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instruction_key.started,Instructions.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,Fixation.started,wordtext.started,Fixation.stopped,wordtext.stopped,Recall.started,recall_key.started,recall_instructions.started,recall_textbox.started,recall_instructions.stopped,Recall.stopped,recall_textbox.text,recall_key.keys,recall_key.corr,recall_key.rt,recall_key.duration,EndScreen.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0031919998582452536,0.008471200009807944,0.008471200009807944,28.730335199972615,space,28.62752590002492,None,,,,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
collaboration,long,0,0,0,11,,,,,28.76563369994983,,,,,,,,,28.75626499997452,29.733997899806127,31.73095479980111,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
flame,short,0,1,1,2,,,,,31.747375699924305,,,,,,,,,31.73130390001461,32.74587129987776,34.74273529998027,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
transformation,long,0,2,2,5,,,,,34.759201099863276,,,,,,,,,34.7429938998539,35.74107959982939,37.73796539986506,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
enlightenment,long,0,3,3,17,,,,,37.7545920999255,,,,,,,,,37.73823149991222,38.73621469992213,40.73309029988013,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
rain,short,0,4,4,0,,,,,40.74957389989868,,,,,,,,,40.73344049998559,41.731656699907035,43.729650099994615,43.7450023998972,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
cloud,short,0,5,5,10,,,,,43.7450023998972,,,,,,,,,43.730274399975315,44.7434075998608,46.74026989983395,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
smile,short,0,6,6,4,,,,,46.7566988999024,,,,,,,,,46.740578499855474,47.73856099997647,49.73596109985374,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
constellation,long,0,7,7,7,,,,,49.75228469981812,,,,,,,,,49.73675219994038,50.733835299964994,52.73066459991969,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
sun,short,0,8,8,8,,,,,52.74722039978951,,,,,,,,,52.731045899912715,53.745701199863106,55.742440099827945,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
perseverance,long,0,9,9,1,,,,,55.758985799970105,,,,,,,,,55.74280589981936,56.74070139997639,58.73757509980351,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
stone,short,0,10,10,18,,,,,58.75418439996429,,,,,,,,,58.73790369997732,59.73607929982245,61.7327961998526,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
moon,short,0,11,11,12,,,,,61.749361199792475,,,,,,,,,61.733039299957454,62.73115749983117,64.72858499991708,64.74456059979275,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
tree,short,0,12,12,16,,,,,64.74456059979275,,,,,,,,,64.72893899981864,65.74295789981261,67.73995229997672,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
light,short,0,13,13,14,,,,,67.75640639988706,,,,,,,,,67.74021489988081,68.73813209985383,70.7351461998187,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
responsibility,long,0,14,14,3,,,,,70.75161219993606,,,,,,,,,70.73544419999234,71.73333649989218,73.73064009984955,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
anticipation,long,0,15,15,15,,,,,73.74691729992628,,,,,,,,,73.73135889996774,74.74520649993792,76.7421074998565,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
exploration,long,0,16,16,9,,,,,76.75852639996447,,,,,,,,,76.74246470001526,77.74047499988228,79.73734879982658,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
book,short,0,17,17,6,,,,,79.75388709991239,,,,,,,,,79.73760469979607,80.73547389986925,82.73248069989495,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
imagination,long,0,18,18,19,,,,,82.74887159978971,,,,,,,,,82.73286969983019,83.73082299996167,85.7280935999006,85.74413809995167,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
melancholy,long,0,19,19,13,,,,,85.74413809995167,,,,,,,,,85.72833819990046,86.7426052999217,88.73948119999841,,,,,,,,,,,,,,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,0,0,0,0,88.75636799982749,,,,,,,,,,,,,88.74054649984464,88.75636799982749,89.73796799988486,92.74134639999829,93.7512956999708,99.17718439991586,book,['right'],0,[10.41931869997643],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,1,0,1,0,99.18926659994759,,,,,,,,,,,,,99.1785249998793,99.18926659994759,100.18783869990148,103.18631499982439,104.20121319987811,106.88119709980674,melancholy,['right'],0,[7.675847199978307],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,2,0,2,0,106.89341389993206,,,,,,,,,,,,,106.88192439987324,106.89341389993206,107.89208299992606,110.89074269984849,111.9053658999037,113.35387309989892,light,['right'],0,[6.445454999804497],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,3,0,3,0,113.36633579991758,,,,,,,,,,,,,113.35469049983658,113.36633579991758,114.36507379985414,117.36371359997429,118.3784784998279,118.4124950999394,tree,['right'],0,[5.041598599869758],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,4,0,4,0,118.42486949986778,,,,,,,,,,,,,118.41321729985066,118.42486949986778,119.42351419990882,122.42207689979114,123.43687839992344,126.71615959983319,moon,['right'],0,[8.289945499971509],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,5,0,5,0,126.72819609986618,,,,,,,,,,,,,126.71690190001391,126.72819609986618,127.72684459993616,130.72560559981503,131.74012269987725,138.2971804998815,sun,['right'],0,[11.562583100050688],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,6,0,6,0,138.30957619985566,,,,,,,,,,,,,138.2979309000075,138.30957619985566,139.3082586999517,142.30697419983335,143.32157429982908,145.90173449995928,cloud,['right'],0,[7.589613399934024],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,7,0,7,0,145.91403679992072,,,,,,,,,,,,,145.90244829980657,145.91403679992072,146.91272009979002,149.91133799985982,150.9260310998652,152.840446599992,smile,['right'],0,[6.921752099879086],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,8,0,8,0,152.85288309981115,,,,,,,,,,,,,152.84117009979673,152.85288309981115,153.85157189983875,156.8501163998153,157.86495719989762,161.51001109997742,collaboration,['right'],0,[8.654211800079793],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,9,0,9,0,161.52229429990984,,,,,,,,,,,,,161.51075629983097,161.52229429990984,162.5211254998576,165.51948059978895,166.53427769988775,168.66519969981164,flame,['right'],0,[7.130894999951124],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,10,0,10,0,168.6774698998779,,,,,,,,,,,,,168.66645819996484,168.6774698998779,169.67617429979146,172.67470089998096,173.68950749980286,176.66918759979308,rain,['right'],0,[7.978029999881983],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
,,,,,,11,0,11,0,176.68128109979443,,,,,,,,,,,,,176.66993370000273,176.68128109979443,177.67990869982168,180.68442119983956,181.69346119998954,183.15847679995932,,['right'],0,[6.472617499995977],[None],,,05,001,2024-11-28_01h29.20.603,experiment psycho,2024.1.5,None,2024-11-28 01h29.36.515474 +0530,
