stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
8,1,2.0,13.828687600005651,,13.80995319999056,13.828687600005651,14.34551489999285,14.34551489999285,14.34551489999285,14.67823709998629,15.059933200012892,right,2.0,1,1,0.7080819999973755,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
9,1,2.0,15.076699400000507,,15.06017489999067,15.076699400000507,15.575309200008633,15.575309200008633,15.594018700008746,15.89224300000933,16.64025130000664,right,2.0,1,1,1.0327536999830045,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
10,1,2.0,16.65767680000863,,16.64063169999281,16.65767680000863,17.156924899987644,17.156924899987644,17.190199700009543,17.489530699996976,18.136752999998862,right,2.0,1,1,0.9524441999965347,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
11,1,1.0,18.15546209999593,,18.13700690001133,18.15546209999593,18.65525539999362,18.65525539999362,18.688280600006692,18.97085290000541,19.55096200000844,left,-1.0,1,1,0.8722473999951035,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
12,1,1.0,19.570805800001835,,19.551317500008736,19.570805800001835,20.069431699987035,20.069431699987035,20.10218590000295,20.401593199989293,20.75254610000411,right,1.0,1,1,0.6712326000269968,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
13,1,1.0,20.767751700012013,,20.752905800007284,20.767751700012013,21.300266600010218,21.300266600010218,21.300266600010218,21.60083089998807,22.39606569998432,left,-1.0,1,1,1.0704788999864832,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
14,0.5,1.0,22.41511649999302,,22.396468399994774,22.41511649999302,22.915670099988347,22.915670099988347,22.947863500012318,23.24717670000973,23.728780000004917,left,-1.0,0,0,0.7823415000166278,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
15,0.5,1.5,23.746814499987522,,23.729166900011478,23.746814499987522,24.24555359999067,24.24555359999067,24.278832699987106,24.578259700007038,25.358163600001717,right,1.5,1,1,1.0793468999909237,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
16,0.5,1.5,25.377012399985688,,25.35855730000185,25.377012399985688,25.876799399993615,25.876799399993615,25.909414499998093,26.20911540000816,26.68970290001016,right,1.5,1,1,0.7825131000136025,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
17,0.5,1.5,26.70832380000502,,26.6900794999965,26.70832380000502,27.20755389999249,27.20755389999249,27.240749899996445,27.540162799996324,28.321758900012355,right,1.5,1,1,1.081261799990898,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
18,0.5,1.0,28.338919900008477,,28.322326599998632,28.338919900008477,28.838265900005354,28.838265900005354,28.871544900001027,29.171171099995263,29.6190065999981,right,1.0,1,1,0.7690747000160627,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
19,0.5,1.0,29.637014600011753,,29.619546200003242,29.637014600011753,30.13606190000428,30.13606190000428,30.169461899989983,30.469019100011792,30.985141699988162,right,1.0,1,1,0.8339099000149872,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
20,0.5,1.0,31.001302899996517,,30.985600099986186,31.001302899996517,31.534238899999764,31.534238899999764,31.534238899999764,31.866513399989344,32.57954589999281,right,1.0,1,1,1.0192508999898564,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
21,0.5,1.0,32.598807000002125,,32.57993469998473,32.598807000002125,33.09832029999234,33.09832029999234,33.13111069999286,33.43115230000694,34.178450600011274,right,1.0,1,1,1.055136400012998,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
22,0.5,1.0,34.19612730000517,,34.17875049999566,34.19612730000517,34.69561840000097,34.69561840000097,34.72871130000567,35.028162300004624,35.56247460001032,right,1.0,0,0,0.8361411999794655,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
