14.2693 	INFO 	keyboard.Keyboard is using iohub backend.
14.2693 	EXP 	adaptive_staircase: status = STARTED
14.2697 	EXP 	window1: mouseVisible = True
14.2755 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
14.2757 	EXP 	window1: mouseVisible = True
14.2829 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0022 	DATA 	Keypress: left
0.0027 	DATA 	Keypress: space
0.0237 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.1157 	EXP 	grating: ori = 10.0
0.1157 	EXP 	fixation: autoDraw = True
0.6228 	INFO 	Keyboard events cleared
0.6221 	EXP 	grating: autoDraw = True
0.6221 	EXP 	grating: tex = 'sin'
0.6498 	EXP 	fixation: autoDraw = False
0.9490 	EXP 	grating: autoDraw = False
1.7209 	DATA 	Keypress: insert
4.7180 	DATA 	Keypress: right
4.7282 	EXP 	fixation: autoDraw = False
4.7282 	EXP 	grating: autoDraw = False
4.7282 	EXP 	grating: ori = 8.0
4.7282 	EXP 	fixation: autoDraw = True
5.2608 	INFO 	Keyboard events cleared
5.2597 	EXP 	fixation: autoDraw = False
5.2597 	EXP 	grating: autoDraw = True
5.5920 	EXP 	grating: autoDraw = False
6.0161 	DATA 	Keypress: right
6.0248 	EXP 	fixation: autoDraw = False
6.0248 	EXP 	grating: autoDraw = False
6.0248 	EXP 	grating: ori = -6.0
6.0248 	EXP 	fixation: autoDraw = True
6.5584 	INFO 	Keyboard events cleared
6.5573 	EXP 	fixation: autoDraw = False
6.5573 	EXP 	grating: autoDraw = True
6.8903 	EXP 	grating: autoDraw = False
7.2454 	DATA 	Keypress: left
7.2564 	EXP 	fixation: autoDraw = False
7.2564 	EXP 	grating: autoDraw = False
7.2564 	EXP 	grating: ori = -4.0
7.2564 	EXP 	fixation: autoDraw = True
7.7564 	INFO 	Keyboard events cleared
7.7553 	EXP 	grating: autoDraw = True
7.7888 	EXP 	fixation: autoDraw = False
8.0880 	EXP 	grating: autoDraw = False
8.5451 	DATA 	Keypress: left
8.5556 	EXP 	fixation: autoDraw = False
8.5556 	EXP 	grating: autoDraw = False
8.5556 	EXP 	grating: ori = 2.0
8.5556 	EXP 	fixation: autoDraw = True
9.0709 	INFO 	Keyboard events cleared
9.0698 	EXP 	grating: autoDraw = True
9.1042 	EXP 	fixation: autoDraw = False
9.4025 	EXP 	grating: autoDraw = False
9.9586 	DATA 	Keypress: right
9.9682 	EXP 	fixation: autoDraw = False
9.9682 	EXP 	grating: autoDraw = False
9.9682 	EXP 	grating: ori = 1.0
9.9682 	EXP 	fixation: autoDraw = True
10.4690 	INFO 	Keyboard events cleared
10.4678 	EXP 	grating: autoDraw = True
10.5010 	EXP 	fixation: autoDraw = False
10.8004 	EXP 	grating: autoDraw = False
11.1901 	DATA 	Keypress: right
11.2003 	EXP 	fixation: autoDraw = False
11.2003 	EXP 	grating: autoDraw = False
11.2003 	EXP 	grating: ori = 1.0
11.2003 	EXP 	fixation: autoDraw = True
11.7003 	INFO 	Keyboard events cleared
11.6991 	EXP 	grating: autoDraw = True
11.7325 	EXP 	fixation: autoDraw = False
11.9984 	EXP 	grating: autoDraw = False
12.5551 	DATA 	Keypress: right
12.5641 	EXP 	fixation: autoDraw = False
12.5641 	EXP 	grating: autoDraw = False
12.5641 	EXP 	grating: ori = -1.0
12.5641 	EXP 	fixation: autoDraw = True
13.0979 	INFO 	Keyboard events cleared
13.0967 	EXP 	fixation: autoDraw = False
13.0967 	EXP 	grating: autoDraw = True
13.4295 	EXP 	grating: autoDraw = False
13.8176 	DATA 	Keypress: right
13.8287 	EXP 	fixation: autoDraw = False
13.8287 	EXP 	grating: autoDraw = False
13.8287 	EXP 	grating: ori = 2.0
13.8287 	EXP 	fixation: autoDraw = True
14.3466 	INFO 	Keyboard events cleared
14.3455 	EXP 	fixation: autoDraw = False
14.3455 	EXP 	grating: autoDraw = True
14.6782 	EXP 	grating: autoDraw = False
15.0673 	DATA 	Keypress: right
15.0767 	EXP 	fixation: autoDraw = False
15.0767 	EXP 	grating: autoDraw = False
15.0767 	EXP 	grating: ori = 2.0
15.0767 	EXP 	fixation: autoDraw = True
15.5760 	INFO 	Keyboard events cleared
15.5753 	EXP 	grating: autoDraw = True
15.5940 	EXP 	fixation: autoDraw = False
15.8922 	EXP 	grating: autoDraw = False
16.6483 	DATA 	Keypress: right
16.6577 	EXP 	fixation: autoDraw = False
16.6577 	EXP 	grating: autoDraw = False
16.6577 	EXP 	grating: ori = 2.0
16.6577 	EXP 	fixation: autoDraw = True
17.1582 	INFO 	Keyboard events cleared
17.1569 	EXP 	grating: autoDraw = True
17.1902 	EXP 	fixation: autoDraw = False
17.4895 	EXP 	grating: autoDraw = False
18.1439 	DATA 	Keypress: right
18.1555 	EXP 	fixation: autoDraw = False
18.1555 	EXP 	grating: autoDraw = False
18.1555 	EXP 	grating: ori = -1.0
18.1555 	EXP 	fixation: autoDraw = True
18.6564 	INFO 	Keyboard events cleared
18.6553 	EXP 	grating: autoDraw = True
18.6883 	EXP 	fixation: autoDraw = False
18.9709 	EXP 	grating: autoDraw = False
19.5596 	DATA 	Keypress: left
19.5708 	EXP 	fixation: autoDraw = False
19.5708 	EXP 	grating: autoDraw = False
19.5708 	EXP 	grating: ori = 1.0
19.5708 	EXP 	fixation: autoDraw = True
20.0706 	INFO 	Keyboard events cleared
20.0694 	EXP 	grating: autoDraw = True
20.1022 	EXP 	fixation: autoDraw = False
20.4016 	EXP 	grating: autoDraw = False
20.7597 	DATA 	Keypress: right
20.7678 	EXP 	fixation: autoDraw = False
20.7678 	EXP 	grating: autoDraw = False
20.7678 	EXP 	grating: ori = -1.0
20.7678 	EXP 	fixation: autoDraw = True
21.3014 	INFO 	Keyboard events cleared
21.3003 	EXP 	fixation: autoDraw = False
21.3003 	EXP 	grating: autoDraw = True
21.6008 	EXP 	grating: autoDraw = False
22.4048 	DATA 	Keypress: left
22.4151 	EXP 	fixation: autoDraw = False
22.4151 	EXP 	grating: autoDraw = False
22.4151 	EXP 	grating: ori = -1.0
22.4151 	EXP 	fixation: autoDraw = True
22.9168 	INFO 	Keyboard events cleared
22.9157 	EXP 	grating: autoDraw = True
22.9479 	EXP 	fixation: autoDraw = False
23.2472 	EXP 	grating: autoDraw = False
23.7367 	DATA 	Keypress: right
23.7468 	EXP 	fixation: autoDraw = False
23.7468 	EXP 	grating: autoDraw = False
23.7468 	EXP 	grating: ori = 1.5
23.7468 	EXP 	fixation: autoDraw = True
24.2467 	INFO 	Keyboard events cleared
24.2456 	EXP 	grating: autoDraw = True
24.2788 	EXP 	fixation: autoDraw = False
24.5783 	EXP 	grating: autoDraw = False
25.3661 	DATA 	Keypress: right
25.3770 	EXP 	fixation: autoDraw = False
