pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,0,0,0,0,,,,,0.013430599996354431,,0.008787200000369921,0.013430599996354431,1.0397366999823134,1.0397366999823134,1.0397366999823134,1.0397366999823134,1.045581399986986,2.0056517999910284,2.0056517999910284,2.658881299983477,z,1,0.4982988999981899,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,0,1,1,1,,,,,2.6646339999861084,,2.6611174999852665,2.6646339999861084,3.6719052999978885,3.6719052999978885,3.6719052999978885,3.6719052999978885,3.6719052999978885,4.6718089999922086,4.6718089999922086,5.007070099993143,x,1,0.3296334999904502,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
50,c,0,2,2,2,,,,,5.021987499989336,,5.008546800003387,5.021987499989336,6.021582899993518,6.021582899993518,6.021582899993518,6.021582899993518,6.021582899993518,7.056074799998896,7.056074799998896,7.357487499975832,c,1,0.2931329999992158,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,0,3,3,3,,,,,7.401341299992055,,7.3583899999794085,7.401341299992055,8.370792899979278,8.370792899979278,8.370792899979278,8.370792899979278,8.404545600002166,9.370623399998294,9.370623399998294,9.706271000002744,v,1,0.3249552999914158,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,1,0,4,0,,,,,9.720796299981885,,9.708772899990436,9.720796299981885,10.720669399976032,10.720669399976032,10.720669399976032,10.720669399976032,10.720669399976032,11.72022139999899,11.72022139999899,12.056287599989446,z,1,0.32299469999270514,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,1,1,5,1,,,,,12.070582299988018,,12.057983299979242,12.070582299988018,13.06967289999011,13.06967289999011,13.06967289999011,13.06967289999011,13.06967289999011,14.069879899994703,14.069879899994703,14.354777000000468,x,1,0.2788740999822039,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
50,c,1,2,6,2,,,,,14.369710300001316,,14.356078499986324,14.369710300001316,15.369649699976435,15.369649699976435,15.369649699976435,15.369649699976435,15.369649699976435,16.369733200001065,16.369733200001065,16.705091399984667,c,1,0.3235348000016529,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,1,3,7,3,,,,,16.719166099996073,,16.706534199998714,16.719166099996073,17.718986899999436,17.718986899999436,17.718986899999436,17.718986899999436,17.718986899999436,18.718665899999905,18.718665899999905,18.97059579999768,v,1,0.24297190000652336,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,2,0,8,0,,,,,18.98558629999752,,18.971769299998414,18.98558629999752,19.98552459999337,19.98552459999337,19.98552459999337,19.98552459999337,19.98552459999337,20.985381599981338,20.985381599981338,21.55442589998711,z,1,0.5532426999998279,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,2,1,9,1,,,,,21.56819649998215,,21.55661329999566,21.56819649998215,22.567689699993934,22.567689699993934,22.567689699993934,22.567689699993934,22.567689699993934,23.567744400002994,23.567744400002994,23.886122399999294,x,1,0.31347370002185926,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
